runid,Circularity,Gradient Symmetricity,Distance Irrelevance
EG_1,0.25270066,0.9988958,0.7539487137600056
EG_2,0.42317683,0.991187,0.6837844307607472
EG_3,0.3845367,0.9211899,0.821798174214088
EG_4,0.29391193,0.95236593,0.7586222968681309
EG_5,0.22556569,0.9995697,0.6249763921206575
EG_6,0.26458114,0.96737075,0.7187332445335504
EG_7,0.33078998,0.94510645,0.8686988585852585
EG_8,0.43251854,0.759341,0.8632763075929898
EG_9,0.30143034,0.97401,0.688633513571322
EG_10,0.31307256,0.9408488,0.6832504847498042
EG_11,0.3296372,0.9688097,0.7829402762290786
EG_12,0.22890988,0.99889886,0.4736621914071955
EG_13,0.34095746,0.9590038,0.6952257412779993
EG_14,0.35537428,0.99714464,0.6764567776067116
EG_15,0.1798788,0.8798665,0.9070964762690613
EG_16,0.40498173,0.99782914,0.7674959193921378
EG_17,0.36539325,0.95495725,0.6901537970664142
EG_18,0.22422644,0.9964621,0.6928384766145568
EG_19,0.24297567,0.9406733,0.8067751485028026
EG_20,0.3382802,0.9957136,0.6104455037387533
EG_21,0.44244415,0.97463816,0.5743728999944943
EG_22,0.44397676,0.90089804,0.8546527089876187
EG_23,0.24597931,0.80531657,0.7921061160980963
EG_24,0.36624077,0.9950689,0.7432423796169926
EG_25,0.27125427,0.99599653,0.6493221396577408
EG_26,0.2936867,0.8623447,0.8266737660324596
EG_27,0.2920372,0.9170983,0.796911243643045
EG_28,0.40231165,0.9563547,0.7013763949889926
EG_29,0.29954123,0.9837428,0.6957733268672334
EG_30,0.29356307,0.76955366,0.8251794148774297
EG_31,0.4046291,0.9628914,0.6486322239570337
EG_32,0.46737102,0.99833506,0.4872684419786495
EG_33,0.36505726,0.6816685,0.7802644448099746
EG_34,0.40782577,0.9854722,0.6445318566630105
EG_35,0.35770166,0.9914878,0.6179560292966426
EG_36,0.3100793,0.9939284,0.5903745183730749
EG_37,0.46730977,0.9815401,0.6297434646888411
EG_38,0.3158725,0.9986096,0.4046864308011491
EG_39,0.32968277,0.97729766,0.6769765674843762
EG_40,0.2671828,0.99405634,0.5753717027434574
EG_41,0.4613228,0.8544908,0.7893057880008586
EG_42,0.29144433,0.9995425,0.5928828866588775
EG_43,0.33695292,0.9861967,0.7649708790818482
EG_44,0.3105534,0.9979632,0.5041950071604981
EG_45,0.314638,0.9985845,0.6578295258173427
EG_46,0.3447603,0.88485914,0.7364832592387534
EG_47,0.22382012,0.99927366,0.6439521868761141
EG_48,0.32023722,0.99076784,0.6374701275873282
EG_49,0.29982919,0.989708,0.5251833959663147
EG_50,0.47635826,0.9140999,0.5180204790343337
EG_51,0.13131405,0.98633623,0.684424687573228
EG_52,0.31186742,0.9985454,0.6638485435824519
EG_53,0.36361426,0.99827987,0.6193992758984728
EG_54,0.3868487,0.85767275,0.7732017814738958
EG_55,0.43248186,0.9704037,0.6295447379306377
EG_56,0.3811122,0.9591416,0.776144377906391
EG_57,0.37446436,0.94254065,0.753021669858431
EG_58,0.35451186,0.9841594,0.5651520703204403
EG_59,0.18389958,0.9989997,0.4743987558792972
EG_60,0.51759803,0.93367624,0.792546129471336
EG_61,0.30323747,0.9760892,0.7103952341017488
EG_62,0.32751966,0.98574823,0.566648525103185
EG_63,0.4118519,0.979023,0.7031912748906874
EG_64,0.37892032,0.9572274,0.7435072540877017
EG_65,0.3677579,0.91380715,0.7832605051806
EG_66,0.3552722,0.8988228,0.8378423429075199
EG_67,0.41253895,0.95777696,0.7356328708467984
EG_68,0.24199748,0.9935815,0.5675564572742859
EG_69,0.32691517,0.95692587,0.8371720670842091
EG_70,0.32011077,0.91906416,0.7010487280451856
EG_71,0.37692162,0.98638046,0.832917626945349
EG_72,0.3432036,0.9936799,0.7273759073947866
EG_73,0.35583413,0.9984313,0.6182757447042736
EG_74,0.5038513,0.80239,0.911153858019568
EG_75,0.3860616,0.96151817,0.7028824801676676
EG_76,0.34974873,0.9095478,0.7578842413733591
EG_77,0.33502248,0.9695514,0.7001774302596976
EG_78,0.2179018,0.9929449,0.6874514529150244
EG_79,0.33357024,0.99506927,0.6352396125815202
EG_80,0.3752589,0.9731516,0.7126333450351675
EG_81,0.38433084,0.9948637,0.7979292336208574
EG_82,0.38210648,0.96296614,0.6699959739411611
EG_83,0.2574684,0.9903205,0.6212687610959268
EG_84,0.35149705,0.99604887,0.7712096762263894
EG_85,0.40012288,0.9735413,0.7798648549058811
EG_86,0.40490735,0.98953795,0.8209539459641457
EG_87,0.36257088,0.9851859,0.6394256906999735
EG_88,0.29283616,0.9956194,0.45854389878166996
EG_89,0.27539703,0.98326623,0.8355989951355534
EG_90,0.25367537,0.9255181,0.7373483988896108
EG_91,0.47467268,0.99501127,0.678958102832182
EG_92,0.17838335,0.9975097,0.5945499814362282
EG_93,0.37250975,0.9946239,0.6499898175253738
EG_94,0.4513911,0.9483927,0.5555607298381774
EG_95,0.36812764,0.9995105,0.46876265724352656
EG_96,0.44200268,0.8788228,0.7846974181148881
EG_97,0.3843387,0.68724495,0.7887627597525975
EG_98,0.34465683,0.9954673,0.6403855589299343
EG_99,0.3355382,0.9979084,0.6517459846578428
EG_100,0.40848663,0.9909902,0.652861705285859
