runid,Circularity,Gradient Symmetricity,Distance Irrelevance
GD_1,0.98420537,0.35674423,0.7978689780220196
GD_2,0.9344099,0.3964502,0.8038991162626411
GD_3,0.99864507,0.43930447,0.5360241461975961
GD_4,0.9519676,0.650769,0.7022455318872889
GD_5,0.9967427,0.3857415,0.7955995242828975
GD_6,0.9499248,0.5489243,0.7761625481602653
GD_7,0.9675097,0.7001373,0.6740055320411874
GD_8,0.863598,0.46093726,0.8662060501583859
GD_9,0.9839405,0.61775416,0.6791625834272751
GD_10,0.95964456,0.3758301,0.8528549336712732
GD_11,0.999018,0.3882621,0.6808342981312695
GD_12,0.9643897,0.4577221,0.846971271061734
GD_13,0.8614039,0.5227664,0.8000873982110236
GD_14,0.9777334,0.5489898,0.7495323496915439
GD_15,0.84963405,0.43753892,0.8056784908864587
GD_16,0.9961077,0.57025194,0.8238250851638479
GD_17,0.9733274,0.43290573,0.8301672788189601
GD_18,0.9318772,0.62234324,0.6922922916094173
GD_19,0.9342109,0.66145766,0.5727635932397714
GD_20,0.9915455,0.7157342,0.6481084174975044
GD_21,0.988667,0.47042924,0.7333686341622988
GD_22,0.99847573,0.42834565,0.6528311911865133
GD_23,0.9959098,0.52288383,0.7289344327174043
GD_24,0.96321046,0.6569208,0.71651481178291
GD_25,0.8443827,0.9871325,0.373604337196767
GD_26,0.99142,0.40754074,0.8355438462099453
GD_27,0.9897863,0.59212434,0.7761237398856492
GD_28,0.9413053,0.6162937,0.796582161444648
GD_29,0.9979635,0.5488907,0.6991078231024543
GD_30,0.86595935,0.96661025,0.5211543093820589
GD_31,0.95444024,0.5936065,0.6850931711546625
GD_32,0.95362556,0.5561531,0.7778186481105243
GD_33,0.9921636,0.70022756,0.6647362292765975
GD_34,0.9938066,0.30902573,0.8398293714593731
GD_35,0.9730675,0.39531314,0.8001705588496926
GD_36,0.9607632,0.299331,0.8169270528228473
GD_37,0.9875575,0.56980133,0.7887028374001458
GD_38,0.9932442,0.76739943,0.6737724898986107
GD_39,0.99638474,0.4776325,0.7190311751534427
GD_40,0.990134,0.5198805,0.7410770039329402
GD_41,0.99150026,0.6309675,0.6830105610218291
GD_42,0.9914086,0.4892801,0.7511680374825892
GD_43,0.9562888,0.37436062,0.8636294046868942
GD_44,0.77511626,0.58625674,0.810499389835055
GD_45,0.75013256,0.6202997,0.7170934037344283
GD_46,0.8827474,0.6596763,0.6664849814813908
GD_47,0.9954925,0.31208134,0.8214187915766875
GD_48,0.74265474,0.7397458,0.675758754073782
GD_49,0.9815202,0.5620372,0.6066184446975444
GD_50,0.9931814,0.3440535,0.849852861593067
GD_51,0.99742746,0.57510066,0.7605422720819499
GD_52,0.91483605,0.3772117,0.8698041828388029
GD_53,0.84410477,0.30380607,0.7738091867295459
GD_54,0.76488405,0.69411474,0.6453664042618047
GD_55,0.99311113,0.52687204,0.7805771286214941
GD_56,0.8302171,0.53692424,0.7751853766171023
GD_57,0.9891833,0.5680801,0.7908259883895647
GD_58,0.9655161,0.4813529,0.8456446278460762
GD_59,0.9935357,0.61511564,0.7054463663462234
GD_60,0.9805156,0.5251453,0.7687798697971153
GD_61,0.96478254,0.5095602,0.7317771710105178
GD_62,0.9219952,0.5864044,0.7357220298637064
GD_63,0.9914643,0.46784866,0.807659610597946
GD_64,0.97001135,0.58594096,0.6747712199826968
GD_65,0.9858607,0.71456885,0.6822438822579325
GD_66,0.9361827,0.4919105,0.7947839844953355
GD_67,0.9844296,0.40641093,0.7609487110741201
GD_68,0.9725737,0.60013056,0.7019304298689688
GD_69,0.98366165,0.41778827,0.8127699410704278
GD_70,0.95906407,0.47370693,0.8409171487347622
GD_71,0.9938467,0.4932849,0.7239371209647696
GD_72,0.9770274,0.65172005,0.8251349236814994
GD_73,0.86730814,0.6553054,0.7247008897115405
GD_74,0.9906409,0.39726102,0.8495927998284235
GD_75,0.71371585,0.6391071,0.7345672668166139
GD_76,0.9934617,0.53003824,0.7686665058384502
GD_77,0.9067091,0.39803642,0.7905810113735428
GD_78,0.87928355,0.6411662,0.6947283367853327
GD_79,0.96361756,0.61785233,0.7348066673596566
GD_80,0.99509215,0.43008986,0.7925257201895248
GD_81,0.9885829,0.43919647,0.7881099628915522
GD_82,0.99622506,0.6432407,0.6949122976103312
GD_83,0.9881529,0.6511839,0.6612340412619718
GD_84,0.9855544,0.62041616,0.7368420712314342
GD_85,0.98898625,0.5876399,0.7347223959046003
GD_86,0.9198663,0.35408184,0.9311643156369565
GD_87,0.9957587,0.5284403,0.6478715506012609
GD_88,0.99611974,0.7669796,0.6372543849737262
GD_89,0.9649734,0.3980461,0.8120596428483147
GD_90,0.9964103,0.5273901,0.7288639277052058
GD_91,0.99835396,0.58079743,0.6403032463661475
GD_92,0.9964584,0.50879186,0.6692115811577999
GD_93,0.99622256,0.4882708,0.689110297126887
GD_94,0.9849216,0.62014,0.7574476022928035
GD_95,0.9694632,0.96523774,0.32911001920975935
GD_96,0.9963528,0.59421885,0.6803325858885092
GD_97,0.9967528,0.4704689,0.7776890752278545
GD_98,0.99572396,0.47666368,0.7385627587001666
GD_99,0.9348978,0.26833525,0.8405392325538871
GD_100,0.98672795,0.6072148,0.762763835583406
